                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1749,                 4.3446,                 2.6174,                0.66014,                0.23333,                0.15453,                0.03446,                  2.941,                 2.7309,                 3.3615,               0.070545,              0.0032727,              0.0032727
                      1,                 1.5178,                 2.1048,                 2.0439,                 0.5943,                0.05556,                0.05759,                0.01269,                 2.6453,                 3.5957,                 2.9861,               0.040415,              0.0064753,              0.0064753
                      2,                 1.4036,                 1.9377,                 1.9486,                0.24873,                   0.35,                0.23443,                0.07947,                 2.6268,                 3.3358,                 3.4291,               0.010152,              0.0095458,              0.0095458
                      3,                 1.3567,                 1.7636,                 1.9464,                0.15007,                   0.25,                0.11943,                0.03597,                 2.6551,                 3.8093,                 4.1286,               0.009406,               0.009406,               0.009406
                      4,                 1.3207,                 1.7042,                 1.9223,                0.69657,                0.23333,                 0.1769,                0.04625,                 2.5728,                 2.7691,                 3.6755,               0.009406,               0.009406,               0.009406
                      5,                 1.2863,                 1.6569,                 1.9018,                0.27917,                0.37102,                 0.2098,                0.06506,                 2.3131,                 2.6806,                 3.0882,               0.009208,               0.009208,               0.009208
                      6,                 1.2304,                 1.6595,                 1.8659,                0.47752,                0.47222,                0.39494,                0.13663,                  2.021,                 2.4125,                 2.8103,                0.00901,                0.00901,                0.00901
                      7,                 1.2185,                  1.522,                 1.8489,                0.24122,                0.40871,                0.24743,                0.09465,                 2.2662,                 2.7732,                 2.9412,               0.008812,               0.008812,               0.008812
                      8,                 1.1743,                 1.4868,                 1.8208,                0.37946,                0.52109,                0.38617,                0.15405,                 1.9865,                 2.1274,                 2.7456,               0.008614,               0.008614,               0.008614
                      9,                 1.1808,                 1.4338,                 1.8006,                0.37798,                0.46667,                0.43428,                0.16429,                  2.001,                 2.2624,                  2.872,               0.008416,               0.008416,               0.008416
                     10,                 1.1642,                 1.3964,                 1.7877,                0.55773,                0.63504,                0.62473,                0.27553,                 1.9236,                 1.6364,                 2.6589,               0.008218,               0.008218,               0.008218
                     11,                 1.1319,                 1.3394,                 1.7601,                0.65275,                0.54117,                0.56375,                0.16844,                 2.1622,                 1.8038,                 2.7699,                0.00802,                0.00802,                0.00802
                     12,                 1.1466,                 1.3526,                 1.7685,                0.53272,                   0.35,                0.38955,                 0.1412,                 1.9498,                 2.2669,                 2.7248,               0.007822,               0.007822,               0.007822
                     13,                 1.0894,                 1.2539,                 1.7315,                 0.3425,                0.50439,                0.40347,                0.14753,                 2.1081,                  2.033,                 3.0132,               0.007624,               0.007624,               0.007624
                     14,                 1.0881,                 1.2227,                 1.7354,                0.43913,                0.59444,                0.54649,                0.19458,                 2.1514,                 1.8924,                   2.97,               0.007426,               0.007426,               0.007426
                     15,                 1.0653,                 1.2287,                 1.7032,                0.52861,                0.56111,                0.54336,                0.21968,                 1.9078,                    1.8,                 2.8592,               0.007228,               0.007228,               0.007228
                     16,                 1.0637,                 1.1954,                 1.7048,                0.40011,                0.56796,                0.45564,                0.16859,                 1.9857,                 2.1663,                 2.9885,                0.00703,                0.00703,                0.00703
                     17,                 1.0403,                 1.1612,                 1.6906,                0.60332,                0.53776,                0.60408,                 0.2434,                  1.866,                 1.5521,                 2.6076,               0.006832,               0.006832,               0.006832
                     18,                 1.0322,                 1.1415,                 1.6708,                0.73398,                0.51667,                0.61686,                0.26047,                 1.8866,                 1.5912,                 2.8695,               0.006634,               0.006634,               0.006634
                     19,                 1.0191,                 1.1398,                 1.6804,                0.67199,                0.66111,                0.73434,                0.32787,                 1.7944,                 1.3283,                 2.5314,               0.006436,               0.006436,               0.006436
                     20,                 1.0112,                 1.1444,                 1.6663,                0.89187,                0.57076,                0.76523,                0.36209,                 1.7064,                  1.382,                 2.6293,               0.006238,               0.006238,               0.006238
                     21,                 1.0009,                 1.0967,                 1.6506,                 0.7266,                0.53558,                0.67432,                0.33192,                 1.6701,                 1.4265,                 2.5897,                0.00604,                0.00604,                0.00604
                     22,                0.96246,                 1.0805,                 1.6367,                0.78816,                0.58421,                0.74582,                0.35161,                 1.7112,                 1.3788,                 2.5607,               0.005842,               0.005842,               0.005842
                     23,                0.98639,                 1.0608,                 1.6386,                0.76582,                0.60359,                0.68094,                0.28418,                 1.8316,                 1.4203,                 2.6209,               0.005644,               0.005644,               0.005644
                     24,                 0.9593,                  1.005,                 1.6112,                0.77674,                0.48219,                0.57537,                0.27148,                 1.8547,                 1.8929,                 2.8443,               0.005446,               0.005446,               0.005446
                     25,                0.94946,                0.99036,                 1.6083,                 0.6993,                0.54444,                0.59311,                0.25902,                  1.879,                 1.7052,                   2.65,               0.005248,               0.005248,               0.005248
                     26,                0.91898,                 0.9592,                 1.5703,                0.66934,                0.76667,                0.77186,                0.37649,                  1.653,                 1.2294,                 2.5248,                0.00505,                0.00505,                0.00505
                     27,                0.93914,                0.95442,                 1.5733,                0.79966,                0.60545,                0.74445,                0.36213,                   1.69,                 1.2712,                 2.5612,               0.004852,               0.004852,               0.004852
                     28,                0.93777,                 0.9483,                 1.5752,                0.79869,                0.72732,                 0.8001,                 0.3511,                 1.7895,                 1.1713,                 2.7809,               0.004654,               0.004654,               0.004654
                     29,                 0.9083,                 0.9156,                  1.557,                0.73899,                0.60171,                 0.6772,                0.31698,                 1.7087,                 1.2358,                 2.7139,               0.004456,               0.004456,               0.004456
                     30,                 0.8914,                0.89563,                 1.5496,                0.81997,                0.54444,                0.66446,                0.32146,                 1.7692,                 1.5072,                 2.6879,               0.004258,               0.004258,               0.004258
                     31,                0.88769,                 0.8925,                 1.5396,                0.75757,                0.69444,                 0.7717,                0.36653,                 1.7409,                 1.2013,                 2.5746,                0.00406,                0.00406,                0.00406
                     32,                0.87768,                0.86075,                 1.5289,                0.81838,                0.68393,                0.78688,                0.42778,                  1.617,                 1.1096,                 2.4239,               0.003862,               0.003862,               0.003862
                     33,                0.89519,                0.89527,                 1.5366,                0.79751,                0.61055,                0.72982,                0.35454,                 1.8309,                 1.3358,                 2.6735,               0.003664,               0.003664,               0.003664
                     34,                0.88467,                0.86245,                 1.5367,                0.82445,                   0.65,                0.80931,                0.37409,                 1.7629,                 1.1595,                 2.7241,               0.003466,               0.003466,               0.003466
                     35,                0.88994,                0.85031,                  1.523,                0.80442,                0.62778,                0.81098,                0.35954,                 1.6872,                 1.2998,                 2.5744,               0.003268,               0.003268,               0.003268
                     36,                0.85992,                0.84367,                 1.4965,                0.78142,                0.63151,                0.67149,                0.31669,                 1.7378,                 1.3469,                  2.783,                0.00307,                0.00307,                0.00307
                     37,                0.85516,                0.81075,                 1.4969,                 0.8094,                0.72222,                0.82889,                0.39717,                 1.6958,                 1.1456,                 2.4476,               0.002872,               0.002872,               0.002872
                     38,                0.84279,                0.81677,                 1.4977,                0.82777,                0.65556,                0.77179,                0.38767,                 1.6219,                 1.2352,                 2.4502,               0.002674,               0.002674,               0.002674
                     39,                0.83502,                0.79908,                 1.4816,                0.72553,                    0.6,                0.66059,                0.34678,                  1.642,                  1.302,                 2.7207,               0.002476,               0.002476,               0.002476
                     40,                  1.125,                0.80231,                 1.6564,                0.77301,                0.62222,                0.63196,                0.31657,                 1.6657,                 1.3215,                 2.6148,               0.002278,               0.002278,               0.002278
                     41,                 1.1222,                0.72813,                 1.6273,                0.70993,                0.65556,                0.70212,                0.35533,                 1.6508,                  1.204,                 2.4977,                0.00208,                0.00208,                0.00208
                     42,                  1.082,                0.71985,                  1.613,                0.81441,                0.84453,                0.87286,                0.43855,                 1.5882,                 1.0451,                  2.431,               0.001882,               0.001882,               0.001882
                     43,                 1.0933,                 0.7124,                 1.5859,                0.82683,                0.62775,                0.69312,                0.37445,                 1.7187,                 1.1126,                 2.5742,               0.001684,               0.001684,               0.001684
                     44,                 1.0775,                0.69225,                  1.584,                0.82199,                0.82222,                0.83029,                0.42196,                 1.6255,                0.98444,                 2.4986,               0.001486,               0.001486,               0.001486
                     45,                 1.0525,                0.64743,                 1.5437,                0.90527,                 0.7585,                0.86787,                0.46576,                 1.5537,                0.92381,                 2.3604,               0.001288,               0.001288,               0.001288
                     46,                 1.0433,                0.64341,                 1.5139,                0.81437,                0.82778,                0.84925,                0.41636,                 1.6884,                0.96986,                 2.4929,                0.00109,                0.00109,                0.00109
                     47,                 1.0094,                0.63005,                 1.5131,                0.82033,                0.61091,                0.68495,                0.32401,                 1.7818,                 1.1812,                  2.952,               0.000892,               0.000892,               0.000892
                     48,                0.97363,                 0.6138,                 1.5163,                0.85015,                0.78889,                0.86186,                0.44423,                 1.6329,                0.91118,                 2.4681,               0.000694,               0.000694,               0.000694
                     49,                0.97865,                0.61019,                 1.5015,                0.89509,                0.65556,                0.78216,                0.38566,                 1.7286,                 1.0281,                 2.8032,               0.000496,               0.000496,               0.000496
