                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1749,                 4.3446,                 2.6174,                0.66014,                0.23333,                0.15453,                0.03446,                  2.941,                 2.7309,                 3.3615,               0.070545,              0.0032727,              0.0032727
                      1,                 1.5385,                 2.0674,                  2.063,                0.41184,                0.53889,                0.34268,                0.10459,                 2.7812,                  3.273,                 3.1714,               0.040524,              0.0065843,              0.0065843
                      2,                 1.4215,                 1.9326,                 1.9622,                0.27513,                    0.2,                 0.1931,                0.04495,                 2.6749,                 2.8661,                 3.3571,                0.01048,              0.0098738,              0.0098738
                      3,                   1.38,                 1.8219,                 1.9579,                0.50666,                0.30556,                0.31672,                0.09742,                 2.6418,                 3.0732,                 3.2477,               0.009901,               0.009901,               0.009901
                      4,                 1.3161,                 1.7044,                 1.9043,                0.01591,                0.06111,                0.00802,                0.00151,                 3.1117,                 4.9779,                 3.6245,               0.009901,               0.009901,               0.009901
                      5,                 1.2955,                 1.6625,                 1.9004,                0.32545,                0.34444,                0.31503,                0.11294,                 2.2441,                 2.6575,                 2.9727,               0.009868,               0.009868,               0.009868
                      6,                 1.2486,                 1.6498,                 1.8732,                0.34267,                0.33889,                0.25013,                0.09387,                 2.5921,                 2.5663,                 3.4277,               0.009835,               0.009835,               0.009835
                      7,                 1.2234,                 1.5133,                 1.8444,                0.33804,                0.41667,                0.27953,                0.10751,                 2.2898,                 2.9166,                 3.2823,               0.009802,               0.009802,               0.009802
                      8,                 1.2093,                 1.4609,                 1.8332,                0.54088,                    0.3,                 0.3554,                 0.1257,                 2.2513,                 2.2675,                 3.1584,               0.009769,               0.009769,               0.009769
                      9,                  1.196,                 1.4558,                 1.8112,                0.62084,                0.52524,                0.49111,                0.17044,                 2.1597,                 2.2206,                 2.8446,               0.009736,               0.009736,               0.009736
                     10,                 1.1601,                 1.4101,                 1.7882,                0.67476,                0.39579,                0.36637,                0.14509,                 2.0003,                 2.3503,                 3.0833,               0.009703,               0.009703,               0.009703
                     11,                 1.1529,                 1.3716,                 1.7831,                0.17263,                0.30556,                0.17207,                0.05846,                 2.6195,                 2.6017,                 3.7681,                0.00967,                0.00967,                0.00967
                     12,                 1.1603,                 1.3768,                 1.7748,                0.48212,                0.42778,                0.45764,                0.17418,                 2.1027,                 1.9166,                 2.9137,               0.009637,               0.009637,               0.009637
                     13,                 1.1116,                 1.3228,                 1.7525,                0.38309,                0.38333,                0.38099,                0.14276,                 2.3183,                 2.1542,                 3.1358,               0.009604,               0.009604,               0.009604
                     14,                 1.1158,                 1.2629,                  1.759,                0.56158,                0.52778,                0.49477,                 0.2053,                 1.9601,                 1.7802,                 2.9666,               0.009571,               0.009571,               0.009571
                     15,                 1.1237,                 1.2546,                 1.7555,                0.57524,                    0.3,                0.33334,                0.14501,                 2.1008,                 2.2362,                 3.0998,               0.009538,               0.009538,               0.009538
                     16,                 1.0994,                 1.2423,                 1.7254,                0.67888,                0.47706,                0.62403,                0.25935,                 1.9217,                 1.6168,                 2.6318,               0.009505,               0.009505,               0.009505
                     17,                 1.0798,                  1.227,                 1.7172,                0.42863,                0.53333,                0.48594,                 0.1696,                 2.2102,                 1.9408,                 2.8599,               0.009472,               0.009472,               0.009472
